,# correlated features
PF3D7_1208200.e3s2_4516,1
PF3D7_1208200.e3s1_5164,1
PF3D7_1208200.e1s1_554,1
PF3D7_1206900.4o4_2705,1
PF3D7_1205500.e1s2_3867,1
PF3D7_1205500.e1s1_2247,1
PF3D7_1202300.e9s1_4772,1
PF3D7_1202300.e6s1_3793,1
PF3D7_1202300.e4s1_1851,1
PF3D7_1202300.e3s2_3847,1
PF3D7_1202300.e3s1_1897,1
PF3D7_1202300.e34s1_2180,1
PF3D7_1202300.e33s1_584,1
PF3D7_1202300.e32s1_3469,1
PF3D7_1202300.e31s1_3193,1
PF3D7_1202300.e30s2_3505,1
PF3D7_1202300.e30s1_3829,1
PF3D7_1202300.e29s1_1852,1
PF3D7_1202300.e26s1_4754,1
PF3D7_1202300.e25s1_4448,1
PF3D7_1202300.e24s1_866,1
PF3D7_1202300.e22s1_3499,1
PF3D7_1202300.e21s1_4431,1
PF3D7_1202300.e20s1_3141,1
PF3D7_1202300.e15s1_2802,1
PF3D7_1202300.e14s1_5089,1
PF3D7_1202300.e12s1_3131,1
PF3D7_1202300.e10s1_885,1
PF3D7_1201700.e2_845,1
PF3D7_1201400.iso1.exon1.amp2_2193,1
PF3D7_1201400.iso1.exon1.amp1_218,1
PF3D7_1201200.2o2_45,1
PF3D7_1201000.e2s1_2210,1
PF3D7_1200900.2o2_404,1
PF3D7_1200600.iso1.exon2.amp3_2805,1
PF3D7_1200600.iso1.exon2.amp1_3377,1
PF3D7_1200600.iso1.exon1.amp1_3026,1
PF3D7_1200500.iso1.exon1.amp1_2436,1
PF3D7_1200400.iso1.exon2.amp1_720,1
PF3D7_1200400.iso1.exon1.amp3_1065,1
PF3D7_1200400.iso1.exon1.amp2_776,1
PF3D7_1200400.iso1.exon1.amp1_487,1
PF3D7_1200300.e2s1_2845,1
PF3D7_1200200.iso1.exon1.amp1_2148,1
PF3D7_1200100.iso1.exon1.amp2_794,1
PF3D7_1200100.iso1.exon1.amp1_505,1
PF3D7_1150400.iso1.exon2.amp1_714,1
PF3D7_1150400.iso1.exon1.amp3_3088,1
PF3D7_1150200.iso1.exon1.amp1_412,1
PF3D7_1150000.iso1.exon2.amp1_3314,1
