,# correlated features
PF3D7_1409500.iso1.exon3.amp1_738,1
PF3D7_1408800.e1s1_3165,1
PF3D7_1408700.e4s1_3458,1
PF3D7_1408700.e3s1_3836,1
PF3D7_1408200.iso1.exon1.amp1_3433,1
PF3D7_1406700.e1s1_239,1
PF3D7_1406500.iso1.exon2.amp1_1090,1
PF3D7_1405900.iso1.exon1.amp2_3984,1
PF3D7_1405500.1o1_2703,1
PF3D7_1405400.e4s1_583,1
PF3D7_1405400.e2s1_4121,1
PF3D7_1404600.iso2.exon16.amp1_1470,1
PF3D7_1403400.iso1.exon2.amp1_1221,1
PF3D7_1403200.e3s1_3796,1
PF3D7_1403200.e2s1_4439,1
PF3D7_1403100.iso1.exon1.amp1_4010,1
PF3D7_1403100.e4s2_3726,1
PF3D7_1402900.1o1_2743,1
PF3D7_1402300.1o1_3030,1
PF3D7_1401700.1o1_2648,1
PF3D7_1401200.2o2_55,1
PF3D7_1369000.2o5_4666,1
PF3D7_1365300.1o1_777,1
PF3D7_1364400.e1s2_4826,1
PF3D7_1364400.e1s1_5150,1
PF3D7_1364300.iso1.exon1.amp1_545,1
PF3D7_1363400.iso1.exon1.amp1_3340,1
PF3D7_1362300.1o1_1332,1
PF3D7_1361900.e1s1_4131,1
PF3D7_1361700.e1_3443,1
PF3D7_1361000.1o1_3045,1
PF3D7_1360900.e8s1_1202,1
PF3D7_1360500.e13s1_2456,1
PF3D7_1360400.1o1_1348,1
PF3D7_1358300.1o1_1036,1
PF3D7_1357200.7o7_4647,1
PF3D7_1357200.4o7_3999,1
PF3D7_1354100.1o1_4284,1
PF3D7_1353300.iso1.exon1.amp3_4512,1
PF3D7_1353300.iso1.exon1.amp2_237,1
PF3D7_1349700.2o2_3937,1
PF3D7_1349300.iso1.exon1.amp1_1120,1
PF3D7_1349100.1o3_4255,1
PF3D7_1348300.2o3_2427,1
PF3D7_1348200.iso1.exon2.amp1_976,1
PF3D7_1347900.iso1.exon3.amp2_4565,1
PF3D7_1346400.e1s4_829,1
PF3D7_1346200.1o1_1006,1
"PF3D7_1346000 (renamed, has duplicates)_2671",1
PF3D7_1344800.2o3_3962,1
PF3D7_1344800.1o3_1051,1
PF3D7_1343600.e2_3769,1
PF3D7_1343100.1o1_1024,1
PF3D7_1342400.2o2_4293,1
PF3D7_1342300.1o1_697,1
PF3D7_1341600.1o1_134,1
PF3D7_1341500.1o1_3986,1
PF3D7_1340900.1o2_1417,1
PF3D7_1340600.e1s1_3174,1
PF3D7_1339300.1o1_2649,1
PF3D7_1338300.e2s1_3177,1
PF3D7_1337700.iso1.exon1.amp1_3274,1
PF3D7_1337400.iso1.exon3.amp1_3847,1
PF3D7_1337300.2o2_3377,1
PF3D7_1334800.1o1_3955,1
PF3D7_1334600.1o1_4285,1
PF3D7_1332900.e1s1_4161,1
